sample_name,group,color,R1,replicate
HEK3_+000_2,HEK3_+000,17,SRR10287223.fastq.gz,2
HEK3_+000_3,HEK3_+000,17,SRR10287222.fastq.gz,3
HEK3_+026_1,HEK3_+026,18,SRR10287238.fastq.gz,1
HEK3_+026_2,HEK3_+026,18,SRR10287237.fastq.gz,2
HEK3_+026_3,HEK3_+026,18,SRR10287235.fastq.gz,3
HEK3_+037_1,HEK3_+037,19,SRR10287234.fastq.gz,1
HEK3_+037_2,HEK3_+037,19,SRR10287233.fastq.gz,2
HEK3_+037_3,HEK3_+037,19,SRR10287232.fastq.gz,3
HEK3_+063_1,HEK3_+063,20,SRR10287231.fastq.gz,1
HEK3_+063_2,HEK3_+063,20,SRR10287230.fastq.gz,2
HEK3_+063_3,HEK3_+063,20,SRR10287229.fastq.gz,3
HEK3_+090_1,HEK3_+090,21,SRR10287228.fastq.gz,1
HEK3_+090_2,HEK3_+090,21,SRR10287227.fastq.gz,2
HEK3_+090_3,HEK3_+090,21,SRR10287226.fastq.gz,3
HEK4_-095_1,HEK4_-095,22,SRR10287215.fastq.gz,1
HEK4_-095_2,HEK4_-095,22,SRR10287213.fastq.gz,2
HEK4_-095_3,HEK4_-095,22,SRR10287212.fastq.gz,3
HEK4_-052_1,HEK4_-052,23,SRR10287218.fastq.gz,1
HEK4_-052_2,HEK4_-052,23,SRR10287217.fastq.gz,2
HEK4_-052_3,HEK4_-052,23,SRR10287216.fastq.gz,3
HEK4_-026_1,HEK4_-026,24,SRR10287221.fastq.gz,1
HEK4_-026_2,HEK4_-026,24,SRR10287220.fastq.gz,2
HEK4_-026_3,HEK4_-026,24,SRR10287219.fastq.gz,3
HEK4_+000_1,HEK4_+000,25,SRR10287205.fastq.gz,1
HEK4_+000_2,HEK4_+000,25,SRR10287204.fastq.gz,2
HEK4_+000_3,HEK4_+000,25,SRR10287202.fastq.gz,3
HEK4_+052_1,HEK4_+052,26,SRR10287211.fastq.gz,1
HEK4_+052_2,HEK4_+052,26,SRR10287210.fastq.gz,2
HEK4_+052_3,HEK4_+052,26,SRR10287209.fastq.gz,3
HEK4_+074_1,HEK4_+074,27,SRR10287208.fastq.gz,1
HEK4_+074_2,HEK4_+074,27,SRR10287207.fastq.gz,2
HEK4_+074_3,HEK4_+074,27,SRR10287206.fastq.gz,3
RNF2_+000_1,RNF2_+000,28,SRR10287195.fastq.gz,1
RNF2_+000_2,RNF2_+000,28,SRR10287194.fastq.gz,2
RNF2_+000_3,RNF2_+000,28,SRR10287193.fastq.gz,3
RNF2_+041_1,RNF2_+041,29,SRR10287201.fastq.gz,1
RNF2_+041_2,RNF2_+041,29,SRR10287200.fastq.gz,2
RNF2_+041_3,RNF2_+041,29,SRR10287199.fastq.gz,3
RNF2_+067_1,RNF2_+067,30,SRR10287198.fastq.gz,1
RNF2_+067_2,RNF2_+067,30,SRR10287197.fastq.gz,2
RNF2_+067_3,RNF2_+067,30,SRR10287196.fastq.gz,3
