sample_name,group,color,R1,replicate
AAVS1-1707+1710_A3786a_B3903b_3,AAVS1-1707+1710_A3786a_B3903b,24,SRR17172146.fastq.gz,3
AAVS1-1707+1710_A3786a_B3930a_1,AAVS1-1707+1710_A3786a_B3930a,25,SRR17172145.fastq.gz,1
AAVS1-1707+1710_A3786a_B3930a_2,AAVS1-1707+1710_A3786a_B3930a,25,SRR17172144.fastq.gz,2
AAVS1-1707+1710_A3786a_B3930a_3,AAVS1-1707+1710_A3786a_B3930a,25,SRR17172143.fastq.gz,3
AAVS1-1707+1710_A3786c_B3839c_1,AAVS1-1707+1710_A3786c_B3839c,26,SRR17172141.fastq.gz,1
AAVS1-1707+1710_A3786c_B3839c_2,AAVS1-1707+1710_A3786c_B3839c,26,SRR17172140.fastq.gz,2
AAVS1-1707+1710_A3786c_B3839c_3,AAVS1-1707+1710_A3786c_B3839c,26,SRR17172139.fastq.gz,3
AAVS1-1707+1710_A3835b_B3903b_1,AAVS1-1707+1710_A3835b_B3903b,27,SRR17172138.fastq.gz,1
AAVS1-1707+1710_A3835b_B3903b_2,AAVS1-1707+1710_A3835b_B3903b,27,SRR17172137.fastq.gz,2
AAVS1-1707+1710_A3835b_B3903b_3,AAVS1-1707+1710_A3835b_B3903b,27,SRR17172136.fastq.gz,3
AAVS1-1707+1710_A3835b_B3930b_1,AAVS1-1707+1710_A3835b_B3930b,28,SRR17172064.fastq.gz,1
AAVS1-1707+1710_A3835b_B3930b_2,AAVS1-1707+1710_A3835b_B3930b,28,SRR17172063.fastq.gz,2
AAVS1-1707+1710_A3835b_B3930b_3,AAVS1-1707+1710_A3835b_B3930b,28,SRR17172062.fastq.gz,3
AAVS1-1707+1710_A3856a_B3903b_1,AAVS1-1707+1710_A3856a_B3903b,29,SRR17172061.fastq.gz,1
AAVS1-1707+1710_A3856a_B3903b_2,AAVS1-1707+1710_A3856a_B3903b,29,SRR17172059.fastq.gz,2
AAVS1-1707+1710_A3856a_B3903b_3,AAVS1-1707+1710_A3856a_B3903b,29,SRR17172058.fastq.gz,3
AAVS1-1707+1710_A3856a_B3930a_1,AAVS1-1707+1710_A3856a_B3930a,30,SRR17172057.fastq.gz,1
AAVS1-1707+1710_A3856a_B3930a_2,AAVS1-1707+1710_A3856a_B3930a,30,SRR17172056.fastq.gz,2
AAVS1-1707+1710_A3856a_B3930a_3,AAVS1-1707+1710_A3856a_B3930a,30,SRR17172055.fastq.gz,3
AAVS1-1717+1713_A1077b_B1154b_1,AAVS1-1717+1713_A1077b_B1154b,31,SRR17172103.fastq.gz,1
AAVS1-1717+1713_A1077b_B1154b_2,AAVS1-1717+1713_A1077b_B1154b,31,SRR17172101.fastq.gz,2
AAVS1-1717+1713_A1077b_B1154b_3,AAVS1-1717+1713_A1077b_B1154b,31,SRR17172030.fastq.gz,3
AAVS1-1717+1713_A1098a_B1154a_1,AAVS1-1717+1713_A1098a_B1154a,32,SRR17172028.fastq.gz,1
AAVS1-1717+1713_A1098a_B1154a_2,AAVS1-1717+1713_A1098a_B1154a,32,SRR17172027.fastq.gz,2
AAVS1-1717+1713_A1098a_B1154a_3,AAVS1-1717+1713_A1098a_B1154a,32,SRR17172026.fastq.gz,3
