sample_name,group,R1,replicate
AAVS1-1653+1715_A1582b_B1705c,AAVS1-1653+1715_A1582b_B1705c,SRR17170428.fastq.gz,1
AAVS1-1653+1715_A1582c_B1640a,AAVS1-1653+1715_A1582c_B1640a,SRR17170427.fastq.gz,1
AAVS1-1653+1715_A1582c_B1640b,AAVS1-1653+1715_A1582c_B1640b,SRR17170426.fastq.gz,1
AAVS1-1653+1715_A1582c_B1640c,AAVS1-1653+1715_A1582c_B1640c,SRR17170425.fastq.gz,1
AAVS1-1653+1715_A1582c_B1676a,AAVS1-1653+1715_A1582c_B1676a,SRR17170423.fastq.gz,1
AAVS1-1653+1715_A1582c_B1676b,AAVS1-1653+1715_A1582c_B1676b,SRR17170422.fastq.gz,1
AAVS1-1653+1715_A1582c_B1676c,AAVS1-1653+1715_A1582c_B1676c,SRR17170421.fastq.gz,1
AAVS1-1653+1715_A1582c_B1701a,AAVS1-1653+1715_A1582c_B1701a,SRR17170420.fastq.gz,1
AAVS1-1653+1715_A1582c_B1701b,AAVS1-1653+1715_A1582c_B1701b,SRR17170419.fastq.gz,1
AAVS1-1653+1715_A1582c_B1701c,AAVS1-1653+1715_A1582c_B1701c,SRR17170418.fastq.gz,1
AAVS1-1653+1715_A1582c_B1705a,AAVS1-1653+1715_A1582c_B1705a,SRR17170417.fastq.gz,1
AAVS1-1653+1715_A1582c_B1705b,AAVS1-1653+1715_A1582c_B1705b,SRR17170416.fastq.gz,1
AAVS1-1653+1715_A1582c_B1705c,AAVS1-1653+1715_A1582c_B1705c,SRR17170415.fastq.gz,1
AAVS1-1653+1715_A1615a_B1640a,AAVS1-1653+1715_A1615a_B1640a,SRR17170414.fastq.gz,1
AAVS1-1653+1715_A1615a_B1640b,AAVS1-1653+1715_A1615a_B1640b,SRR17170340.fastq.gz,1
AAVS1-1653+1715_A1615a_B1640c,AAVS1-1653+1715_A1615a_B1640c,SRR17170339.fastq.gz,1
AAVS1-1653+1715_A1615a_B1676a,AAVS1-1653+1715_A1615a_B1676a,SRR17170338.fastq.gz,1
AAVS1-1653+1715_A1615a_B1676b,AAVS1-1653+1715_A1615a_B1676b,SRR17170337.fastq.gz,1
AAVS1-1653+1715_A1615a_B1676c,AAVS1-1653+1715_A1615a_B1676c,SRR17170336.fastq.gz,1
AAVS1-1653+1715_A1615a_B1701a,AAVS1-1653+1715_A1615a_B1701a,SRR17170335.fastq.gz,1
AAVS1-1653+1715_A1615a_B1701b,AAVS1-1653+1715_A1615a_B1701b,SRR17170334.fastq.gz,1
AAVS1-1653+1715_A1615a_B1701c,AAVS1-1653+1715_A1615a_B1701c,SRR17170333.fastq.gz,1
AAVS1-1653+1715_A1615a_B1705a,AAVS1-1653+1715_A1615a_B1705a,SRR17170332.fastq.gz,1
AAVS1-1653+1715_A1615a_B1705b,AAVS1-1653+1715_A1615a_B1705b,SRR17170331.fastq.gz,1
AAVS1-1653+1715_A1615a_B1705c,AAVS1-1653+1715_A1615a_B1705c,SRR17170329.fastq.gz,1
AAVS1-1653+1715_A1615b_B1640a,AAVS1-1653+1715_A1615b_B1640a,SRR17170328.fastq.gz,1
AAVS1-1653+1715_A1615b_B1640b,AAVS1-1653+1715_A1615b_B1640b,SRR17170327.fastq.gz,1
AAVS1-1653+1715_A1615b_B1640c,AAVS1-1653+1715_A1615b_B1640c,SRR17170326.fastq.gz,1
AAVS1-1653+1715_A1615b_B1676a,AAVS1-1653+1715_A1615b_B1676a,SRR17170325.fastq.gz,1
AAVS1-1653+1715_A1615b_B1676b,AAVS1-1653+1715_A1615b_B1676b,SRR17170324.fastq.gz,1
AAVS1-1653+1715_A1615b_B1676c,AAVS1-1653+1715_A1615b_B1676c,SRR17170323.fastq.gz,1
AAVS1-1653+1715_A1615b_B1701a,AAVS1-1653+1715_A1615b_B1701a,SRR17170322.fastq.gz,1
AAVS1-1653+1715_A1615b_B1701b,AAVS1-1653+1715_A1615b_B1701b,SRR17170321.fastq.gz,1
AAVS1-1653+1715_A1615b_B1701c,AAVS1-1653+1715_A1615b_B1701c,SRR17170320.fastq.gz,1
AAVS1-1653+1715_A1615b_B1705a,AAVS1-1653+1715_A1615b_B1705a,SRR17170318.fastq.gz,1
AAVS1-1653+1715_A1615b_B1705b,AAVS1-1653+1715_A1615b_B1705b,SRR17170317.fastq.gz,1
AAVS1-1653+1715_A1615b_B1705c,AAVS1-1653+1715_A1615b_B1705c,SRR17170316.fastq.gz,1
AAVS1-1653+1715_A1615c_B1640a,AAVS1-1653+1715_A1615c_B1640a,SRR17170315.fastq.gz,1
AAVS1-1653+1715_A1615c_B1640b,AAVS1-1653+1715_A1615c_B1640b,SRR17170314.fastq.gz,1
AAVS1-1653+1715_A1615c_B1640c,AAVS1-1653+1715_A1615c_B1640c,SRR17170313.fastq.gz,1
AAVS1-1653+1715_A1615c_B1676a,AAVS1-1653+1715_A1615c_B1676a,SRR17170312.fastq.gz,1
AAVS1-1653+1715_A1615c_B1676b,AAVS1-1653+1715_A1615c_B1676b,SRR17170311.fastq.gz,1
AAVS1-1653+1715_A1615c_B1676c,AAVS1-1653+1715_A1615c_B1676c,SRR17170310.fastq.gz,1
AAVS1-1653+1715_A1615c_B1701a,AAVS1-1653+1715_A1615c_B1701a,SRR17170309.fastq.gz,1
AAVS1-1653+1715_A1615c_B1701b,AAVS1-1653+1715_A1615c_B1701b,SRR17170307.fastq.gz,1
AAVS1-1653+1715_A1615c_B1701c,AAVS1-1653+1715_A1615c_B1701c,SRR17170306.fastq.gz,1
AAVS1-1653+1715_A1615c_B1705a,AAVS1-1653+1715_A1615c_B1705a,SRR17170305.fastq.gz,1
AAVS1-1653+1715_A1615c_B1705b,AAVS1-1653+1715_A1615c_B1705b,SRR17170232.fastq.gz,1
AAVS1-1653+1715_A1615c_B1705c,AAVS1-1653+1715_A1615c_B1705c,SRR17170231.fastq.gz,1
AAVS1-1653+1715_A1647a_B1676a,AAVS1-1653+1715_A1647a_B1676a,SRR17170230.fastq.gz,1
AAVS1-1653+1715_A1647a_B1676b,AAVS1-1653+1715_A1647a_B1676b,SRR17170229.fastq.gz,1
AAVS1-1653+1715_A1647a_B1676c,AAVS1-1653+1715_A1647a_B1676c,SRR17170228.fastq.gz,1
AAVS1-1653+1715_A1647a_B1701a,AAVS1-1653+1715_A1647a_B1701a,SRR17170227.fastq.gz,1
AAVS1-1653+1715_A1647a_B1701b,AAVS1-1653+1715_A1647a_B1701b,SRR17170226.fastq.gz,1
AAVS1-1653+1715_A1647a_B1701c,AAVS1-1653+1715_A1647a_B1701c,SRR17170224.fastq.gz,1
AAVS1-1653+1715_A1647a_B1705a,AAVS1-1653+1715_A1647a_B1705a,SRR17170223.fastq.gz,1
AAVS1-1653+1715_A1647a_B1705b,AAVS1-1653+1715_A1647a_B1705b,SRR17170222.fastq.gz,1
AAVS1-1653+1715_A1647a_B1705c,AAVS1-1653+1715_A1647a_B1705c,SRR17170221.fastq.gz,1
AAVS1-1653+1715_A1647b_B1676a,AAVS1-1653+1715_A1647b_B1676a,SRR17170220.fastq.gz,1
AAVS1-1653+1715_A1647b_B1676b,AAVS1-1653+1715_A1647b_B1676b,SRR17170219.fastq.gz,1
AAVS1-1653+1715_A1647b_B1676c,AAVS1-1653+1715_A1647b_B1676c,SRR17170218.fastq.gz,1
AAVS1-1653+1715_A1647b_B1701a,AAVS1-1653+1715_A1647b_B1701a,SRR17170217.fastq.gz,1
AAVS1-1653+1715_A1647b_B1701b,AAVS1-1653+1715_A1647b_B1701b,SRR17170216.fastq.gz,1
AAVS1-1653+1715_A1647b_B1701c,AAVS1-1653+1715_A1647b_B1701c,SRR17170215.fastq.gz,1
AAVS1-1653+1715_A1647b_B1705a,AAVS1-1653+1715_A1647b_B1705a,SRR17170213.fastq.gz,1
AAVS1-1653+1715_A1647b_B1705b,AAVS1-1653+1715_A1647b_B1705b,SRR17170212.fastq.gz,1
AAVS1-1653+1715_A1647b_B1705c,AAVS1-1653+1715_A1647b_B1705c,SRR17170211.fastq.gz,1
AAVS1-1653+1715_A1647c_B1676a,AAVS1-1653+1715_A1647c_B1676a,SRR17170210.fastq.gz,1
AAVS1-1653+1715_A1647c_B1676b,AAVS1-1653+1715_A1647c_B1676b,SRR17170209.fastq.gz,1
AAVS1-1653+1715_A1647c_B1676c,AAVS1-1653+1715_A1647c_B1676c,SRR17170208.fastq.gz,1
AAVS1-1653+1715_A1647c_B1701a,AAVS1-1653+1715_A1647c_B1701a,SRR17170207.fastq.gz,1
AAVS1-1653+1715_A1647c_B1701b,AAVS1-1653+1715_A1647c_B1701b,SRR17170206.fastq.gz,1
AAVS1-1653+1715_A1647c_B1701c,AAVS1-1653+1715_A1647c_B1701c,SRR17170205.fastq.gz,1
AAVS1-1653+1715_A1647c_B1705a,AAVS1-1653+1715_A1647c_B1705a,SRR17170204.fastq.gz,1
AAVS1-1653+1715_A1647c_B1705b,AAVS1-1653+1715_A1647c_B1705b,SRR17170202.fastq.gz,1
AAVS1-1653+1715_A1647c_B1705c,AAVS1-1653+1715_A1647c_B1705c,SRR17170201.fastq.gz,1
AAVS1-1655+1656_A1810a_B1883a,AAVS1-1655+1656_A1810a_B1883a,SRR17170200.fastq.gz,1
AAVS1-1655+1656_A1810a_B1883b,AAVS1-1655+1656_A1810a_B1883b,SRR17170199.fastq.gz,1
